Name,Location,Category,Focus,Impact,Contact,Website,Districts
"SEWA Tamil Nadu","Chennai, Tiruchirappalli, Thanjavur",women,"Women's economic empowerment and livelihoods","Supporting 30,000+ women entrepreneurs",sewa.tn@gmail.com,www.sewa.org,"Chennai, Tiruchirappalli, Thanjavur, Madurai"
"Working Women's Forum",Chennai,women,"Microfinance and women's rights advocacy","Empowering 120,000+ women",info@workingwomensforum.org,www.workingwomensforum.org,"Chennai, Kanchipuram, Tiruvallur"
"Hand in Hand India","Chennai, Kanchipuram",women,"Women's self-help groups and microfinance","Empowering 500,000+ women",info@hihseed.org,www.hihseed.org,"Chennai, Kanchipuram, Tiruvallur, Villupuram"
"CRY - Child Rights and You",Chennai,children,"Child rights, education and protection","Impacting 250,000+ children",chennai@cry.org,www.cry.org,"Chennai, Kanchipuram, Tiruvallur, Vellore"
"Udavum Karangal",Chennai,children,"Orphan care, rehabilitation and education","Caring for 1,200+ children and elderly",info@udavumkarangal.org,www.udavumkarangal.org,Chennai
"Bala Mandir Kamaraj",Chennai,children,"Orphanage and child education","Caring for 500+ orphaned children",info@balamandir.org,www.balamandir.org,Chennai
"HelpAge India","Chennai, Madurai, Coimbatore",elderly,"Elderly care, healthcare and advocacy","Serving 60,000+ senior citizens",chennai@helpageindia.org,www.helpageindia.org,"Chennai, Madurai, Coimbatore, Tiruchirappalli"
"Dignity Foundation",Chennai,elderly,"Active ageing and elderly empowerment","Engaging 15,000+ senior citizens",chennai@dignityfoundation.com,www.dignityfoundation.com,"Chennai, Kanchipuram"
"Vidya Sagar",Chennai,disability,"Cerebral palsy and multiple disabilities support","Supporting 2,500+ children with disabilities",info@vidyasagar.org,www.vidyasagar.org,Chennai
"Amar Seva Sangam","Ayikudy, Tirunelveli",disability,"Comprehensive disability rehabilitation","Serving 12,000+ persons with disabilities",info@amarseva.org,www.amarseva.org,"Tirunelveli, Thoothukudi"
"DHAN Foundation",Madurai,rural,"Rural development, livelihoods and water management","Reaching 6 million rural families",info@dhan.org,www.dhan.org,"Madurai, Dindigul, Theni, Ramanathapuram, Sivaganga"
"MYRADA",Dharmapuri,rural,"Rural community development and SHGs","Supporting 150,000+ rural families",myrada@myrada.org,www.myrada.org,"Dharmapuri, Krishnagiri"
"Blue Cross of India",Chennai,animal_welfare,"Animal rescue and welfare","Rescuing 50,000+ animals annually",info@bluecrossofindia.org,www.bluecrossofindia.org,"Chennai, Kanchipuram"
"Goonj",Chennai,disaster_relief,"Disaster relief and rural development","Reaching 500,000+ people in disasters",chennai@goonj.org,www.goonj.org,"Chennai, Kanchipuram, Tiruvallur"
"Don Bosco Tech Society","Chennai, Madurai, Coimbatore",skill_development,"Skill training and employment","Training 20,000+ youth annually",info@donboscotech.in,www.donboscotech.in,"Chennai, Madurai, Coimbatore, Tiruchirappalli"
